primary_name,primary_title,weighted_rating
Vijayendra Prasad,Baahubali 2: The Conclusion,7.757490127515003
C.H. Vijay Kumar,Baahubali 2: The Conclusion,7.757490127515003
Ajay Kumar,Baahubali 2: The Conclusion,7.757490127515003
Madhan Karky,Baahubali 2: The Conclusion,7.757490127515003
Chad Beck,Inside Job,7.75537545402197
Adam Bolt,Inside Job,7.75537545402197
Jack Kirby,Captain America: The Winter Soldier,7.746934294584319
Christopher Markus,Captain America: The Winter Soldier,7.746934294584319
Stephen McFeely,Captain America: The Winter Soldier,7.746934294584319
Joe Simon,Captain America: The Winter Soldier,7.746934294584319
Neal Purvis,Skyfall,7.740569463773916
Robert Wade,Skyfall,7.740569463773916
John Logan,Skyfall,7.740569463773916
Ian Fleming,Skyfall,7.740569463773916
Jack Kirby,Captain America: Civil War,7.739718400938691
Christopher Markus,Captain America: Civil War,7.739718400938691
Stephen McFeely,Captain America: Civil War,7.739718400938691
Joe Simon,Captain America: Civil War,7.739718400938691
Fran Walsh,The Hobbit: The Desolation of Smaug,7.737886770759427
Philippa Boyens,The Hobbit: The Desolation of Smaug,7.737886770759427
Guillermo del Toro,The Hobbit: The Desolation of Smaug,7.737886770759427
J.R.R. Tolkien,The Hobbit: The Desolation of Smaug,7.737886770759427
Hossein Amini,Drive,7.732878114163899
James Sallis,Drive,7.732878114163899
George Lucas,Rogue One: A Star Wars Story,7.727159734467585
Chris Weitz,Rogue One: A Star Wars Story,7.727159734467585
Tony Gilroy,Rogue One: A Star Wars Story,7.727159734467585
John Knoll,Rogue One: A Star Wars Story,7.727159734467585
Gary Whitta,Rogue One: A Star Wars Story,7.727159734467585
Manoj Muntashir,Baahubali: The Beginning,7.726347648486591
Vijayendra Prasad,Baahubali: The Beginning,7.726347648486591
C.H. Vijay Kumar,Baahubali: The Beginning,7.726347648486591
Ajay Kumar,Baahubali: The Beginning,7.726347648486591
Madhan Karky,Baahubali: The Beginning,7.726347648486591
Rhett Reese,Deadpool 2,7.711978175579206
Paul Wernick,Deadpool 2,7.711978175579206
Rob Liefeld,Deadpool 2,7.711978175579206
Fabian Nicieza,Deadpool 2,7.711978175579206
Steven Zaillian,The Girl with the Dragon Tattoo,7.711091727664937
Stieg Larsson,The Girl with the Dragon Tattoo,7.711091727664937
Billy Ray,Captain Phillips,7.711053353281507
Richard Phillips,Captain Phillips,7.711053353281507
Stephan Talty,Captain Phillips,7.711053353281507
Olivier Treiner,Andhadhun,7.707973000628572
Arijit Biswas,Andhadhun,7.707973000628572
Yogesh Chandekar,Andhadhun,7.707973000628572
Hemanth M. Rao,Andhadhun,7.707973000628572
Pooja Ladha Surti,Andhadhun,7.707973000628572
Man of Action,Big Hero 6,7.707416949349325
Jordan Roberts,Big Hero 6,7.707416949349325
Robert L. Baird,Big Hero 6,7.707416949349325
Daniel Gerson,Big Hero 6,7.707416949349325
Dan Fogelman,Tangled,7.706272453406785
Jacob Grimm,Tangled,7.706272453406785
Wilhelm Grimm,Tangled,7.706272453406785
Akhilesh Jaiswal,Gangs of Wasseypur,7.703654666085421
Sachin K. Ladia,Gangs of Wasseypur,7.703654666085421
Zeishan Quadri,Gangs of Wasseypur,7.703654666085421
Steve Conrad,Wonder,7.694934019848937
Jack Thorne,Wonder,7.694934019848937
R.J. Palacio,Wonder,7.694934019848937
Jonathan Herman,Straight Outta Compton,7.694112801946329
Andrea Berloff,Straight Outta Compton,7.694112801946329
S. Leigh Savidge,Straight Outta Compton,7.694112801946329
Alan Wenkus,Straight Outta Compton,7.694112801946329
Scott Silver,The Fighter,7.6925985758581
Paul Tamasy,The Fighter,7.6925985758581
Eric Johnson,The Fighter,7.6925985758581
Keith Dorrington,The Fighter,7.6925985758581
Charles Randolph,The Big Short,7.690248917651775
Michael Lewis,The Big Short,7.690248917651775
Godtfred Kirk Christiansen,The Lego Movie,7.688565871455955
Dan Hageman,The Lego Movie,7.688565871455955
Kevin Hageman,The Lego Movie,7.688565871455955
Ole Kirk Christiansen,The Lego Movie,7.688565871455955
Jeethu Joseph,Drishyam,7.6851586428473215
Upendra Sidhaye,Drishyam,7.6851586428473215
Roman Coppola,Moonrise Kingdom,7.684193291239148
James Ivory,Call Me by Your Name,7.68102911096705
André Aciman,Call Me by Your Name,7.68102911096705
Cressida Cowell,How to Train Your Dragon 2,7.679019887534836
Sarah Waters,The Handmaiden,7.676283422203468
Seo-kyeong Jeong,The Handmaiden,7.676283422203468
Frank Pierson,A Star Is Born,7.666244507648271
Eric Roth,A Star Is Born,7.666244507648271
Will Fetters,A Star Is Born,7.666244507648271
Moss Hart,A Star Is Born,7.666244507648271
John Gregory Dunne,A Star Is Born,7.666244507648271
Joan Didion,A Star Is Born,7.666244507648271
Bruce Geller,Mission: Impossible - Fallout,7.658304233284532
Jonás Cuarón,Gravity,7.65349532256353
Matthew Quick,Silver Linings Playbook,7.64708850991768
Bryan Singer,X-Men: First Class,7.646079575031944
Ashley Miller,X-Men: First Class,7.646079575031944
Zack Stentz,X-Men: First Class,7.646079575031944
Jane Goldman,X-Men: First Class,7.646079575031944
Sheldon Turner,X-Men: First Class,7.646079575031944
Aaron Sorkin,The Social Network,7.642414012985657
Ben Mezrich,The Social Network,7.642414012985657
Craig Bartholomew Strydom,Searching for Sugar Man,7.641966014775145
Shibani Bathija,My Name Is Khan,7.64063717798393
Niranjan Iyengar,My Name Is Khan,7.64063717798393
Jane Goldman,Kingsman: The Secret Service,7.639980377868695
Mark Millar,Kingsman: The Secret Service,7.639980377868695
Dave Gibbons,Kingsman: The Secret Service,7.639980377868695
Chris Terrio,Argo,7.638926544133018
Tony Mendez,Argo,7.638926544133018
Joshuah Bearman,Argo,7.638926544133018
Nicolás Giacobone,Birdman or (The Unexpected Virtue of Ignorance),7.63721398303139
Alexander Dinelaris,Birdman or (The Unexpected Virtue of Ignorance),7.63721398303139
Armando Bo,Birdman or (The Unexpected Virtue of Ignorance),7.63721398303139
Raymond Carver,Birdman or (The Unexpected Virtue of Ignorance),7.63721398303139
Kim Krizan,Before Midnight,7.635449539859696
Jim Starlin,Guardians of the Galaxy Vol. 2,7.632702045806697
Dan Abnett,Guardians of the Galaxy Vol. 2,7.632702045806697
Andy Lanning,Guardians of the Galaxy Vol. 2,7.632702045806697
Steve Englehart,Guardians of the Galaxy Vol. 2,7.632702045806697
Steve Gan,Guardians of the Galaxy Vol. 2,7.632702045806697
Cinco Paul,Despicable Me,7.63017158960677
Ken Daurio,Despicable Me,7.63017158960677
Sergio Pablos,Despicable Me,7.63017158960677
Tani Basu,Barfi!,7.629685919885885
Sanjeev Dutta,Barfi!,7.629685919885885
Roberto Orci,Star Trek Into Darkness,7.627355510217093
Alex Kurtzman,Star Trek Into Darkness,7.627355510217093
Damon Lindelof,Star Trek Into Darkness,7.627355510217093
Gene Roddenberry,Star Trek Into Darkness,7.627355510217093
Steve Kloves,Harry Potter and the Deathly Hallows: Part 1,7.6241298581670485
J.K. Rowling,Harry Potter and the Deathly Hallows: Part 1,7.6241298581670485
Chaitally Parmar,Queen,7.617657056959656
Parveez Sheikh,Queen,7.617657056959656
Anvita Dutt Guptan,Queen,7.617657056959656
Prasoon Joshi,Bhaag Milkha Bhaag,7.615030011779153
Allison Schroeder,Hidden Figures,7.612973089414728
Margot Lee Shetterly,Hidden Figures,7.612973089414728
Anthony McCarten,The Theory of Everything,7.611568516611734
Jane Hawking,The Theory of Everything,7.611568516611734
Derek Kolstad,John Wick: Chapter 3 - Parabellum,7.608871565573155
Shay Hatten,John Wick: Chapter 3 - Parabellum,7.608871565573155
Chris Collins,John Wick: Chapter 3 - Parabellum,7.608871565573155
Marc Abrams,John Wick: Chapter 3 - Parabellum,7.608871565573155
Jared Stern,Wreck-It Ralph,7.607490811808518
Phil Johnston,Wreck-It Ralph,7.607490811808518
Jim Reardon,Wreck-It Ralph,7.607490811808518
Jennifer Lee,Wreck-It Ralph,7.607490811808518
Sam Levine,Wreck-It Ralph,7.607490811808518
Roman Coppola,Isle of Dogs,7.60594187399152
Jason Schwartzman,Isle of Dogs,7.60594187399152
Kunichi Nomura,Isle of Dogs,7.60594187399152
Scott Neustadter,The Fault in Our Stars,7.599505269966338
Michael H. Weber,The Fault in Our Stars,7.599505269966338
John Green,The Fault in Our Stars,7.599505269966338
Will Reiser,50/50,7.59497880021507
Bráulio Mantovani,Elite Squad: The Enemy Within,7.5834779806337504
Rodrigo Pimentel,Elite Squad: The Enemy Within,7.5834779806337504
Simon Carmody,Sing Street,7.581722461390252
Reema Kagti,Zindagi Na Milegi Dobara,7.5734748903613305
Shubham Ghude,Zindagi Na Milegi Dobara,7.5734748903613305
Eli B. Despres,Blackfish,7.558437216542865
Tim Zimmermann,Blackfish,7.558437216542865
Yigit Güralp,Ayla: The Daughter of War,7.556236109232165
Thota Srinivas,1 - Nenokkadine,7.556218997640796
Jakka Hariprasad,1 - Nenokkadine,7.556218997640796
Hari Prasad Jakka,1 - Nenokkadine,7.556218997640796
Venkateswararao Potluri,1 - Nenokkadine,7.556218997640796
Palnati Surya Pratap,1 - Nenokkadine,7.556218997640796
Ghalia Lacroix,Blue Is the Warmest Color,7.554487514139041
Julie Maroh,Blue Is the Warmest Color,7.554487514139041
Barry Crump,Hunt for the Wilderpeople,7.551816594390929
Te Arepa Kahi,Hunt for the Wilderpeople,7.551816594390929
Jane Goldman,Kick-Ass,7.539349121204985
Mark Millar,Kick-Ass,7.539349121204985
John Romita Jr.,Kick-Ass,7.539349121204985
Rick Jaffa,Rise of the Planet of the Apes,7.536384532749689
Amanda Silver,Rise of the Planet of the Apes,7.536384532749689
Pierre Boulle,Rise of the Planet of the Apes,7.536384532749689
Jesse Andrews,Me and Earl and the Dying Girl,7.533469631685643
Vijayendra Prasad,Bajrangi Bhaijaan,7.530330321024936
Parveez Sheikh,Bajrangi Bhaijaan,7.530330321024936
Asad Hussain,Bajrangi Bhaijaan,7.530330321024936
Kausar Munir,Bajrangi Bhaijaan,7.530330321024936
Bhavesh Mandalia,OMG: Oh My God!,7.5271289476339405
Nikhil Vyas,Kahaani,7.52494110373552
Advaita Kala,Kahaani,7.52494110373552
Suresh Nair,Kahaani,7.52494110373552
Ritesh Shah,Kahaani,7.52494110373552
Sutapa Sikdar,Kahaani,7.52494110373552
Mark Bomback,Dawn of the Planet of the Apes,7.5236949631381576
Rick Jaffa,Dawn of the Planet of the Apes,7.5236949631381576
Amanda Silver,Dawn of the Planet of the Apes,7.5236949631381576
Pierre Boulle,Dawn of the Planet of the Apes,7.5236949631381576
Marc Haimes,Kubo and the Two Strings,7.519081506838824
Chris Butler,Kubo and the Two Strings,7.519081506838824
Shannon Tindle,Kubo and the Two Strings,7.519081506838824
H. Banerjee,Vishwaroopam,7.516888126363391
Atul Tiwari,Vishwaroopam,7.516888126363391
Taylor Sheridan,Sicario,7.510389041940557
Mark Magidson,Samsara,7.509926450433988
Steven Zaillian,Moneyball,7.509907168064335
Aaron Sorkin,Moneyball,7.509907168064335
Stan Chervin,Moneyball,7.509907168064335
Michael Lewis,Moneyball,7.509907168064335
Simon Beaufoy,127 Hours,7.509208007473871
Aron Ralston,127 Hours,7.509208007473871
Peter Craig,The Town,7.508835720698426
Aaron Stockard,The Town,7.508835720698426
Chuck Hogan,The Town,7.508835720698426
Bryan Woods,A Quiet Place,7.504003639052089
Scott Beck,A Quiet Place,7.504003639052089
Victor Hugo,Les Misérables,7.498119840756854
William Nicholson,Les Misérables,7.498119840756854
Alain Boublil,Les Misérables,7.498119840756854
Claude-Michel Schönberg,Les Misérables,7.498119840756854
Herbert Kretzmer,Les Misérables,7.498119840756854
Charles Portis,True Grit,7.497481264197466
Sonu Sinha,Airlift,7.497436343302919
Ritesh Shah,Airlift,7.497436343302919
Suresh Nair,Airlift,7.497436343302919
Rahul Nangia,Airlift,7.497436343302919
Hoon-jung Park,I Saw the Devil,7.4918248914130166
Matt Charman,Bridge of Spies,7.489995364647712
Ethan Coen,Bridge of Spies,7.489995364647712
Joel Coen,Bridge of Spies,7.489995364647712
William Shakespeare,Haider,7.476518422872303
Basharat Peer,Haider,7.476518422872303
Aaron Covington,Creed,7.473105907374103
Pamela Ribon,Moana,7.472893104596534
Jared Bush,Moana,7.472893104596534
Anurag Kashyap,Udaan,7.468620254751123
Satyanshu Singh,Udaan,7.468620254751123
Devanshu Singh,Udaan,7.468620254751123
Will Collins,Song of the Sea,7.459368746918772
Jenny Bicks,The Greatest Showman,7.458980895830644
Bill Condon,The Greatest Showman,7.458980895830644
Simon Beaufoy,The Hunger Games: Catching Fire,7.451400562906462
Michael Arndt,The Hunger Games: Catching Fire,7.451400562906462
Suzanne Collins,The Hunger Games: Catching Fire,7.451400562906462
Ebru Ceylan,Winter Sleep,7.447650609205775
Anton Chekhov,Winter Sleep,7.447650609205775
Hans Christian Andersen,Frozen,7.446158888040177
Shane Morris,Frozen,7.446158888040177
Jon Spaihts,Doctor Strange,7.445910594798985
C. Robert Cargill,Doctor Strange,7.445910594798985
Stan Lee,Doctor Strange,7.445910594798985
Steve Ditko,Doctor Strange,7.445910594798985
Sergio G. Sánchez,The Impossible,7.44374895197325
María Belón,The Impossible,7.44374895197325
Harry G. Peter,Wonder Woman,7.4430629508299075
Allan Heinberg,Wonder Woman,7.4430629508299075
Zack Snyder,Wonder Woman,7.4430629508299075
Jason Fuchs,Wonder Woman,7.4430629508299075
William Moulton Marston,Wonder Woman,7.4430629508299075
Taylor Sheridan,Hell or High Water,7.442746154495233
Ben Ripley,Source Code,7.4388268914715034
Bob Nelson,Nebraska,7.43767670217338
