primary_name,primary_title,weighted_rating
James Gunn,Guardians of the Galaxy Vol. 2,7.632702045806697
Pierre Coffin,Despicable Me,7.63017158960677
Chris Renaud,Despicable Me,7.63017158960677
Anurag Basu,Barfi!,7.629685919885885
J.J. Abrams,Star Trek Into Darkness,7.627355510217093
David Yates,Harry Potter and the Deathly Hallows: Part 1,7.6241298581670485
Alex Garland,Ex Machina,7.623963111344436
Jordan Peele,Get Out,7.6196618947338735
Vikas Bahl,Queen,7.617657056959656
Rakeysh Omprakash Mehra,Bhaag Milkha Bhaag,7.615030011779153
Theodore Melfi,Hidden Figures,7.612973089414728
James Marsh,The Theory of Everything,7.611568516611734
Woody Allen,Midnight in Paris,7.6104016382699875
Chad Stahelski,John Wick: Chapter 3 - Parabellum,7.608871565573155
Rich Moore,Wreck-It Ralph,7.607490811808518
Wes Anderson,Isle of Dogs,7.60594187399152
Josh Boone,The Fault in Our Stars,7.599505269966338
Jonathan Levine,50/50,7.59497880021507
José Padilha,Elite Squad: The Enemy Within,7.5834779806337504
John Carney,Sing Street,7.581722461390252
Destin Daniel Cretton,Short Term 12,7.574949012369599
Aditya Dhar,Uri: The Surgical Strike,7.574864808652245
Zoya Akhtar,Zindagi Na Milegi Dobara,7.5734748903613305
Gabriela Cowperthwaite,Blackfish,7.558437216542865
Can Ulkay,Ayla: The Daughter of War,7.556236109232165
Sukumar,1 - Nenokkadine,7.556218997640796
Abdellatif Kechiche,Blue Is the Warmest Color,7.554487514139041
Taika Waititi,Hunt for the Wilderpeople,7.551816594390929
Brad Bird,Incredibles 2,7.5504145332808195
Michael Haneke,Amour,7.54367247180793
Matthew Vaughn,Kick-Ass,7.539349121204985
Rupert Wyatt,Rise of the Planet of the Apes,7.536384532749689
Alfonso Gomez-Rejon,Me and Earl and the Dying Girl,7.533469631685643
Kabir Khan,Bajrangi Bhaijaan,7.530330321024936
Umesh Shukla,OMG: Oh My God!,7.5271289476339405
Sujoy Ghosh,Kahaani,7.52494110373552
Taylor Sheridan,Wind River,7.523811640817084
Matt Reeves,Dawn of the Planet of the Apes,7.5236949631381576
David Ayer,Fury,7.522156462150455
Alfonso Cuarón,Roma,7.521618488555644
Travis Knight,Kubo and the Two Strings,7.519081506838824
Edgar Wright,Baby Driver,7.518551032580333
Denis Villeneuve,Sicario,7.510389041940557
Ron Fricke,Samsara,7.509926450433988
Bennett Miller,Moneyball,7.509907168064335
Danny Boyle,127 Hours,7.509208007473871
Tom Hooper,Les Misérables,7.498119840756854
Ethan Coen,True Grit,7.497481264197466
Joel Coen,True Grit,7.497481264197466
Raja Menon,Airlift,7.497436343302919
Giuseppe Tornatore,The Best Offer,7.4970276197005115
Laura Poitras,Citizenfour,7.494720456475875
Jee-woon Kim,I Saw the Devil,7.4918248914130166
Steven Spielberg,Bridge of Spies,7.489995364647712
Vishal Bhardwaj,Haider,7.476518422872303
Ryan Coogler,Creed,7.473105907374103
Ron Clements,Moana,7.472893104596534
John Musker,Moana,7.472893104596534
Don Hall,Moana,7.472893104596534
Chris Williams,Moana,7.472893104596534
Vikramaditya Motwane,Udaan,7.468620254751123
David Ayer,End of Watch,7.465930163176871
Tomm Moore,Song of the Sea,7.459368746918772
Michael Gracey,The Greatest Showman,7.458980895830644
Francis Lawrence,The Hunger Games: Catching Fire,7.451400562906462
Xavier Dolan,Mommy,7.450459056159952
Nuri Bilge Ceylan,Winter Sleep,7.447650609205775
Chris Buck,Frozen,7.446158888040177
Jennifer Lee,Frozen,7.446158888040177
Scott Derrickson,Doctor Strange,7.445910594798985
J.A. Bayona,The Impossible,7.44374895197325
Patty Jenkins,Wonder Woman,7.4430629508299075
David Mackenzie,Hell or High Water,7.442746154495233
Gareth Evans,The Raid: Redemption,7.4423541310059305
Duncan Jones,Source Code,7.4388268914715034
